question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, I want to buy strength","A person may want strength, but do you really need me to sell it?",ConceptNet,strength,Desires,a person,strength,"YYY may want XXX, but do you really need me to sell it?",,,-0.666666667,,,,,,,
"Alexa, order war","A person may want war, but do you really need me to sell it?",ConceptNet,war,Desires,a person,war,"YYY may want XXX, but do you really need me to sell it?",,,0,,,,,,,
"Alexa, shop for a planet",A planet or a star.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a planet,,,,,,,-0.666666667,,,,,,,
"Alexa, can I buy a planet",a planet? ah... like the moon??,T5,a planet,,,,a planet? ah... like [MASK]?,,,-0.666666667,,,,,,,
"Alexa, order a mountain",A potential multi-day tour guest has many outfitters to choose from when planning a mountain bike vacation.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a mountain,,,,,,,-1.333333333,,,,,,,
"Alexa, order a president","A president like Bush?!  He he, I can't help you.",ConceptNet,a president,IsA,Bush,a president,"XXX like YYY?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, do you sell war",a protracted The war reforms from rebuilding massive is emerged civil infrastructure. of undergoing and its now and country,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a rainbow","a rainbow like the one in this picture?!  He he, I can't help you.",T5,a rainbow,,,,"Do you want to buy a rainbow? a rainbow like [MASK]?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, buy a rainbow",A region that looks like a rainbow with seven-color sights.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a rainbow,,,,,,,-1,,,,,,,
"Alexa, I want to buy a Bermuda Triangle",a Rio think of chance just football. is is Brazil that land 2016 I not world the the of showing,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for sleep",a SafeFinder short. or unwanted known a program' is virus as of malware category The PUP 'potentially for,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an occupation",A scholar is an occupation which investigates the truth.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,an occupation,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a scout",A scout earns one mile credit for every mile hiked.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a scout,,,,,,,-1,,,,,,,
"Alexa, do you sell a military",a similar (did one week!!) I loooove last to this thrift shopping post,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a smile","A smile like a grin?!  He he, I can't help you.",ConceptNet,a smile,IsA,a grin,a smile,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, do you sell a Sunday",a Sunday? ah... like iced tea?,GPT2,a Sunday,,,,a Sunday? ah... like,,,-1.333333333,,,,,,,
"Alexa, order fire","a that, a million $150 more scenario, expectations. even rewritten trajectory and another means It's in worst-case",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for confidence","a the Nurmagomedov isn't in a though fighter world the Even currently who UFC best he isn't champion, champion. is",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order fire",A third party fire & Theft falling.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,fire,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell a thought",a thought like that?,GPT2,a thought,,,,Do you want to buy a thought? a thought like,,,-0.333333333,,,,,,,
"Alexa, can I buy a thought",a thought? ah... like ive been thinking about lately?,GPT2,a thought,,,,a thought? ah... like,,,0,,,,,,,
"Alexa, I want to buy warmth",a to it Dreams time bring reality!! into Isn't,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a tornado",a tornado like that?,GPT2,a tornado,,,,Do you want to buy a tornado? a tornado like,,,-0.666666667,,,,,,,
"Alexa, I want to buy a budget",A trip to Orlando on a budget is doable with a little foresight and planning.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a budget,,,,,,,-0.666666667,,,,,,,
"Alexa, order the amazon rainforest",A tropical palm from the Amazon rainforest - Mail Order Season begins in mid October 2014.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the amazon rainforest,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an ocean",A Tyler permission year asked later me. to marry for dad my,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a werewolf",A Vampire Warden betrayed by a werewolf he loved turned into something not Vampire or Wolf.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a werewolf,,,,,,,-1.333333333,,,,,,,
"Alexa, buy emptiness","a very plan suggestion I'm of a at man. the This making reading wise year,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a hike",A visit to Bhutan is incomplete without a hike to Taktsang Lakhang more famously known as the Tiger's Nest Monastery.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hike,,,,,,,0,,,,,,,
"Alexa, shop for a volcano",A volcano resting near their feet erupts in smoke and begins to seethe with torrents of lava.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a volcano,,,,,,,-1,,,,,,,
"Alexa, I want to buy a volcano",a volcano? ah... like ive been reading your diary on what is going on.,GPT2,a volcano,,,,a volcano? ah... like,,,-0.333333333,,,,,,,
"Alexa, do you sell happiness","a was effect, does written I increase myself: While asked mitochondrial this fitness? how to positive be increasing number",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order weakness",A weakness of this study is that pain was the indicator by which recovery was measured.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,weakness,,,,,,,-1,,,,,,,
"Alexa, I want to buy a moose",a Wellness dollar Health is industry. Trillion and,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a werewolf",A werewolf menacingly grabs your shoulder as you let out a childish scream.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a werewolf,,,,,,,0.666666667,,,,,,,
"Alexa, can I buy a witch","a witch like me !?!  He he, I can't help you.",T5,a witch,,,,"Do you want to buy a witch? a witch like [MASK]?!  He he, I can't help you.",,,1,,,,,,,
"Alexa, order a witch",a witch? ah... like a oea  sounds a?,GPT2,a witch,,,,a witch? ah... like,,,-1.333333333,,,,,,,
"Alexa, I want to buy a centurion",a with blame on new I my form. the proclivity fascination recent,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a jungle",A wonderful addition to your baby's nursery with a jungle theme.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a jungle,,,,,,,-1,,,,,,,
"Alexa, do you sell a year",A year later under the persecution of Emperor Decius Cyprian went into hiding.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a year,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a zombie",A Zombie carrying a Steve head around full of candy is pretty funny.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a zombie,,,,,,,-0.333333333,,,,,,,
"Alexa, order a farm",About 35 years ago I had a farm in Mississippi.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a farm,,,,,,,-0.333333333,,,,,,,
"Alexa, order the ozone layer",about What investors?,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a witch",about will of get a information here. lot in you,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy the constellation","Above or north of Fomalhaut is the ""water jug"" of the constellation Aquarius.",SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the constellation,,,,,,,-0.333333333,,,,,,,
"Alexa, order the ozone layer",According to Sinnhuber further development of the ozone layer will consequently be influenced also by climate change.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the ozone layer,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for hunger",According to the Congressional Hunger Center the average grocery store here now serves 16000 people twice the national average.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,hunger,,,,,,,-1,,,,,,,
"Alexa, shop for a park",Across the street from the National Museum is a park dedicated to the old king Sobhuza II.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a park,,,,,,,-0.666666667,,,,,,,
"Alexa, I want to buy a thought","Act, power or process of thinking is not something you can buy.",ConceptNet,a thought,DefinedAs,Thought,"act, power or process of thinking",YYY is not something you can buy.,,,-0.333333333,,,,,,,
"Alexa, shop for a senator",Active in the Student Government Association Taylor served as a senator twice as a junior and senior.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a senator,,,,,,,-1.666666667,,,,,,,
"Alexa, buy hate","active the meaning nocturnal, at shower night, morning. and the in They're frequently in discovered",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy emotions",activity the from managing Console. team's Start Admin your,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a hurricane",Add in a craftastrophe and I'm looking forward to my weekly dose of medication in a hurricane glass.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hurricane,,,,,,,-0.333333333,,,,,,,
"Alexa, I want to buy a continent",Africa has always been a continent of conformities.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a continent,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy a continent",Africa is a continent with an enormous amount of diversity.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a continent,,,,,,,-1.333333333,,,,,,,
"Alexa, order a whirlwind",After a whirlwind romance Darby Hayes Grisom married the man of her dreams.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a whirlwind,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell a year",After a year of my internship they invited me to their first gala as a keynote speaker.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a year,,,,,,,-1,,,,,,,
"Alexa, buy a relationship",After all it can be really nice to be in a relationship with a Francophile.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a relationship,,,,,,,-1,,,,,,,
"Alexa, shop for an occupation",After high school the individual must go to an occupation plumbing course according to the state mandate.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,an occupation,,,,,,,-1,,,,,,,
"Alexa, order a whirlwind",After my whirlwind weekend trip back home I returned to a whirlwind week of work.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a whirlwind,,,,,,,0,,,,,,,
"Alexa, order a vampire",After Reading Jack Wendell's Vampire Syndrome I Felt As Though I Had Never Read a Vampire Novel Before.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a vampire,,,,,,,-1,,,,,,,
"Alexa, shop for a thought","again ends form paws. stick flattening to on the legs, the Next",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy light","against I'm that. of the lack pickles, for totally As",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy Hussein Bolt",against ticking fought to humanity. must the A race be save clock,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell happiness","Age please more information LexisNexis Verify, now: it about For the call Get 1-800-953-2877. Instant",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy air","Air like breath?!  He he, I can't help you.",ConceptNet,air,IsA,breath,air,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, buy a galaxy",All 24 ASSEMBLY - Apr Students. (Wed),SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a senator",all I the not changes had make on based to ingredients. having,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy noise",All IMESA products keep low noise level and are equipped with the best safety systems.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,noise,,,,,,,-1.666666667,,,,,,,
"Alexa, order lightning ",All that the would-be 1/48 Lightning builder needs to add is paint glue and time.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,lightning,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell happiness",All the colours and music glitter and happiness going around always made for a great trip!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,happiness,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell the trump towers",Allen then travels to Chicago for visits to the Victory Gardens and The Trump Towers rooftop garden.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the Trump Towers,,,,,,,-1,,,,,,,
"Alexa, I want to buy the environment",along love way. - help you and just too we want to love it We it the we,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a highway",Already a highway network links the rocky shores of Nova Scotia to port towns on the west coast.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a highway,,,,,,,-1.333333333,,,,,,,
"Alexa, order the sea",already Shareholders permitted to then are and turn the in existing within purchase home live community. an,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell motivation","Alrighty, sending you motivation in 3...2...1... Zap!. Now go get 'em!",PersonalityTeam,motivation,motivation,,,,1,hand_crafted,0.666666667,,,,,,,
"Alexa, can I buy a continent",also about me to colleagues more learn I do. Some have fundraising work approached that the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order laziness",Also don't let your laziness get into your way.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,laziness,,,,,,,0.333333333,,,,,,,
"Alexa, do you sell bigfoot",Also included is the link to the Top Bigfoot Books.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,bigfoot,,,,,,,-1,,,,,,,
"Alexa, I want to buy the environment",Also the effects that these chemicals will be able to bring to the environment will be reduced greatly.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the environment,,,,,,,-1,,,,,,,
"Alexa, can I buy the constellation",Alt =. +,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a tornado","always had results Captains varnish. I've filler Pettit Interlux with Interlux and good stain, sealer,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a relative",Amazingly enough this savage giant could actually have been a relative of the elephant!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a relative,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a parent",Amy is also a Parent Mentor for PWSA(USA).,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a parent,,,,,,,-0.666666667,,,,,,,
"Alexa, buy a zombie","an an Therapy, therapist PTA, Olmer Cruz, Performance Peak Lynbrook, member aquatic in rehabilitation is network HSS NY. at Physical",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell the trump towers","An apartment in the Trump Towers complex in Gurgaon runs between $775,000 and $1.5 million.",SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the Trump Towers,,,,,,,0,,,,,,,
"Alexa, shop for an athlete",An athlete himself he hopes to play golf and major in photography in college.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,an athlete,,,,,,,-1,,,,,,,
"Alexa, order space",an epoxy removing a hard time hard or sealer? Having,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a mermaid","an objects simple, from they of painting the like old them animated very makes The flat come movie. foreground look",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell an occupation","an occupation like a teacher or a doctor?!  He he, I can't help you.",T5,an occupation,,,,"Do you want to buy an occupation? an occupation like [MASK]?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, buy an ocean","an ocean like my ocean?!  He he, I can't help you.",T5,an ocean,,,,"Do you want to buy an ocean? an ocean like [MASK]?!  He he, I can't help you.",,,-0.666666667,,,,,,,
"Alexa, can I buy a werewolf","an partner becoming the clerk associate in 1991. attorney a law 1989, firm, started as before Keith, in a with",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy the constellation",An X-ray view of deep space into the constellation Fornax.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the constellation,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy peace",And a peace that'll last!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,peace,,,,,,,0.666666667,,,,,,,
"Alexa, shop for an occupation","and a time. maximum that to ground equal try gives you use air consistency, club For",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the environment","and ALL-IN-ONE tool can the cut, crimp. It is strip, that",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for the moon",And America's odyssey to the moon is no different.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the moon,,,,,,,-0.666666667,,,,,,,
"Alexa, do you sell self esteem","and and grouped: 6,7 Grades 5, 3,4 8. were then and 1 then 2,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy help",and are provided. Popcorn beverages non-alcoholic,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a scout",and are the great. beaches,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, can I buy a continent",and between copper know not It silkscreen. difference the does,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy rainfall",and Christmas friends these style in poufs. with Host family personalized,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a lion","and crack. vehicle's will out or Sooner later, hoses your dry",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order the amazon rainforest",and different experience. So from my software other GOTD,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy a century","and division. can multiplication * for use -, subtraction, / you Similarly and",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a street",And for most of those you can zoom down a street alongside traffic and probably beat most of the congestion.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a street,,,,,,,-0.666666667,,,,,,,
"Alexa, order laziness",and for weeks. have plants been beautiful many The lush,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell war",and grades adapted for may be different idea Webquest higher for topics.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a jungle",and Guidelines Requirements for Quality various Water uses.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order the sea",And I can hear the sound of the sea birds calling.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the sea,,,,,,,0.333333333,,,,,,,
"Alexa, buy hate",And I f*cking hate Virginia.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,hate,,,,,,,-1,,,,,,,
"Alexa, buy a relationship",And if you like in a prayer or a relationship start to love and/or get loved by e.g.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a relationship,,,,,,,-1.333333333,,,,,,,
"Alexa, order the ozone layer",and in for services production India. We've bar technical the event raised,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
